Players,Team,Possessions,SQ PPP,SQ PPP Rank,Good_Possession_Rate,Bad_Possession_Rate,Rim_and_3_rate,Assists_per_game,Actual_Win_Percentage,SQ_Assists_per_game,SQ_Passing_Points_Created_per_game
"Sophie Hart","N.C. State",8.76,1.19,0.9703801945,0.7272727273,0.1818181818,0.8571428571,0.5,,"",""
"River Baldwin","N.C. State",90.96,1.14,0.9370026525,0.6272727273,0.0909090909,0.9210526316,0.3,,"",""
"Madison Hayes","N.C. State",91.76,1.09,0.8779840849,0.4907407407,0.0833333333,0.9367088608,1.2,,"",""
"Saniya Rivers","N.C. State",105.52,1.09,0.8817418214,0.5322580645,0.4032258065,0.7252747253,2.6,,"",""
"Jada Boyd","N.C. State",87.56,1.06,0.7939876216,0.4158415842,0.3366336634,0.6103896104,1.1,,"",""
"Diamond Johnson","N.C. State",112.4,1.04,0.7553050398,0.3305084746,0.2881355932,0.7592592593,3.8,,"",""
"Mimi Collins","N.C. State",110.84,1.01,0.6441202476,0.358778626,0.465648855,0.4947368421,0.9,,"",""
"Jessica Timmons","N.C. State",39.4,0.99,0.549071618,0.3111111111,0.3333333333,0.7428571429,1,,"",""
"Camille Hobby","N.C. State",114,0.98,0.5103890363,0.34375,0.4609375,0.5242718447,0.6,,"",""
"Jakia Brown-Turner","N.C. State",148.52,0.97,0.4796640141,0.3113772455,0.3113772455,0.7164179104,2.2,,"",""
"Aziaha James","N.C. State",79.48,0.94,0.3662687887,0.3483146067,0.3146067416,0.6666666667,1.7,,"",""
